Prefix,Input_text,Target_text
webNLG,Nehra|Mandeep|FOUR,"Nehra to Mandeep, FOUR, first boundary for Mandeep and RCB."
webNLG,Nehra|Mandeep|FOUR,"Nehra to Mandeep, FOUR, back-to-back boundaries to end the first"
webNLG,Henriques|Kedar Jadhav|FOUR,"Henriques to Kedar Jadhav, FOUR, hit straight back at Henriques"
webNLG,Nehra|Kedar Jadhav|FOUR,"Nehra to Kedar Jadhav, FOUR, another full toss, it's Jadhav"
webNLG,Nehra|Kedar Jadhav|FOUR,"Nehra to Kedar Jadhav, FOUR, four more. Jadhav starting to"
webNLG,Henriques|Kedar Jadhav|OUT,"Henriques to Kedar Jadhav, out Kedar Jadhav Run Out!! 1"
webNLG,Rashid Khan|Head|FOUR,"Rashid Khan to Head, FOUR, goes down and smashes the"
webNLG,Rashid Khan|Head|OUT,"Rashid Khan to Head, out Caught by Yuvraj!! Rashid strikes"
webNLG,Bipul Sharma|Sachin Baby|OUT,"Bipul Sharma to Sachin Baby, out Caught by Henriques!! Straight"
webNLG,Rashid Khan|Watson|SIX,"Rashid Khan to Watson, SIX, Rashid finishes with a long"
webNLG,Cutting|Binny|SIX,"Cutting to Binny, SIX, slower ball again but this time"
webNLG,Cutting|Watson|FOUR,"Cutting to Watson, FOUR, plants his foot down and absolutely"
webNLG,Bhuvneshwar|Binny|ONE,"Bhuvneshwar to Binny, 1 run, dropped! Naman Ojha, with the"
webNLG,Bhuvneshwar|Binny|OUT,"Bhuvneshwar to Binny, out Caught by Yuvraj!! Gone this time."
webNLG,Nehra|Watson|OUT,"Nehra to Watson, out Caught by Henriques!! That's the end"
webNLG,Nehra|Aravind|OUT,"Nehra to Aravind, out Bowled!! Terrific yorker from Nehra; a"
webNLG,Bhuvneshwar|Tymal Mills|SIX,"Bhuvneshwar to Tymal Mills, SIX, full and wide, Mills has"
webNLG,Bhuvneshwar|Tymal Mills|OUT,"Bhuvneshwar to Tymal Mills, out Caught by Warner!! Good lord,"
webNLG,Cutting|Aniket Choudhary|SIX,"Cutting to Aniket Choudhary, SIX, first ball Choudhary faces in"
webNLG,Cutting|Aniket Choudhary|OUT,"Cutting to Aniket Choudhary, out Chahal Run Out!! Direct-hit and"
webNLG,Nehra|Gayle|FOUR,"Nehra to Gayle, FOUR, Nehra goes back to the shorter"
webNLG,Nehra|Mandeep|FOUR,"Nehra to Mandeep, FOUR, might have been the slower one"
webNLG,Nehra|Gayle|SIX,"Nehra to Gayle, SIX, that ball hung in the night"
webNLG,Bhuvneshwar|Gayle|SIX,"Bhuvneshwar to Gayle, SIX, Gayle is in the mood. Mind"
webNLG,Bhuvneshwar|Mandeep|FOUR,"Bhuvneshwar to Mandeep, FOUR, Mandeep is playing the perfect foil"
webNLG,Cutting|Gayle|FOUR,"Cutting to Gayle, FOUR, not convincing, but Gayle will take"
webNLG,Rashid Khan|Mandeep|FOUR,"Rashid Khan to Mandeep, FOUR, Rashid throws it up once"
webNLG,Rashid Khan|Mandeep|OUT,"Rashid Khan to Mandeep, out Bowled!! He strikes! The customary"
webNLG,Deepak Hooda|Gayle|SIX,"Deepak Hooda to Gayle, SIX, a gift from Hooda and"
webNLG,Deepak Hooda|Gayle|OUT,"Deepak Hooda to Gayle, out Caught by Warner!! It was"
webNLG,Rashid Khan|Head|FOUR,"Rashid Khan to Head, FOUR, lots of flighted and lands"
webNLG,Rashid Khan|Kedar Jadhav|FOUR,"Rashid Khan to Kedar Jadhav, FOUR, ordinary delivery from Rashid"
webNLG,Cutting|Kedar Jadhav|SIX,"Cutting to Kedar Jadhav, SIX, that looked like a half-hearted"
webNLG,Henriques|Head|FOUR,"Henriques to Head, FOUR, Head does the most of the"
webNLG,Tymal Mills|Warner|FOUR,"Tymal Mills to Warner, FOUR, lovely shot, sublime timing on"
